"","motion_no","title","proposed_by","tabled_dt","debate_dt","motion_text"
"242","NDM6293","NDM6293 - Government Debate","Jane Hutt",2017-04-24,2017-04-24,"To propose that the National Assembly for Wales, in accordance with Standing Order 26.36:Agrees to dispose of sections and schedules to the Public Health (Wales) Bill at Stage 3 in the following order:(a) sections 3 - 26 (b) section 2(c) sections 27 - 52 (d) sections 54 - 91 (e) section 53(f) sections 92 - 124(g) Schedules  1 - 4 (h) section 1 (i) Long title"
"243","NDM6294","NDM6294 - Short Debate","Hannah Blythyn",2017-04-25,2017-04-25,"Short Debate"
"244","NDM6295","NDM6295 - Assembly Debate","Rhun ap Iorwerth",2017-04-25,2017-04-25,"To propose that the National Assembly for Wales:1. Believes that quality local public services are key to the prosperity and wellbeing of our nation.2. Regrets that since 2011-12, funding for local authorities in Wales has decreased by 6.5 per cent, disproportionately affecting some of the weakest and most vulnerable people in communities across Wales.3. Recognises the important role played by local authorities in:a) developing local economies in partnership with the business community;b) ensuring that our streets are clean and safe;c) delivering quality education; andd) delivering social service care that look after the most vulnerable people in communities across Wales.4. Notes that the average salary for Chief Executives running Plaid Cymru-led Councils is nearly £22,000 less than those run by Labour Councils in Wales.5. Believes that local affordable housing development projects should be rooted in the needs of the community.6. Notes the successful child development tracking model, used by Ceredigion Council - the only council judged by Estyn to have excellent performance in Wales in the last full cycle of inspections - to ensure children are reaching their potential, with assistance provided at an early stage to those who are falling behind.7. Regrets that, since 2012, the percentage total of local government procurement spend in Wales has remained static at just 58 per cent.8. Calls on the Welsh Government to scrap zero hours contracts in the social care sector."
"245","NDM6296","NDM6296 - Assembly Debate","Lynne Neagle",2017-04-25,2017-04-25,"To propose that the National Assembly for Wales:Notes the Children, Young People and Education Committee Report on the Inquiry into the Education Improvement Grant: Gypsy, Roma and Traveller, and Minority Ethnic Children which was laid in the Table Office on 21 February 2017."
"246","NDM6297","NDM6297 - Assembly Debate","David J. Rowlands",2017-04-25,2017-04-25,"To propose that the National Assembly for Wales:1. Directs the Welsh Government to review its energy generation policies and environmental impact policy.2. Notes that there is an aim of achieving a zero-carbon economy in Wales.3. Believes that:a) communities should have the final say over whether to approve solar farms in their locality;b) mature woodland should not be cut down to build solar farms; and c) the method of reducing residential, public sector and business energy usage should be supported by:i) encouraging the installation of triple glazing in residential and other properties; andii) encouraging the installation of fuel-efficient boilers."
"247","NDM6298","NDM6298 - Government Debate","Mark Drakeford",2017-05-02,2017-05-02,"To propose that the National Assembly for Wales, in accordance with Standing Order 26.11:Agrees to the general principles of the Trade Union (Wales) Bill.The Trade Union (Wales) Bill and Explanatory Memorandum were laid before the Assembly on 16 January 2017.The report of the Equality, Local Government and Communities Committee on the Trade Union (Wales) Bill was laid before the Assembly on 7 April 2017."
"248","NDM6299","NDM6299 - Government Debate","Jane Hutt",2017-05-02,2017-05-02,"To propose that the National Assembly for Wales: for the purposes of any provisions resulting from the Trade Union (Wales) Bill, agrees to any increase in expenditure of a kind referred to in Standing Order 26.69, arising in consequence of the Bill."
"249","NDM6300","NDM6300 - Short Debate","Caroline Jones",2017-05-03,2017-05-03,"Short Debate"
"250","NDM6301","NDM6301 - Debate on Members’ Legislative Proposal","Dawn Bowden",2017-05-03,2017-05-03,"To propose that the National Assembly for Wales:1. Notes a proposal for an amendment to the Housing Act (Wales) 2014.2. Notes that the purpose of the amendment would be to outlaw the practice of landlords advertising properties for free rent in return for sexual favours.'Housing Act (Wales) 2014'"
"251","NDM6302","NDM6302 - Assembly Debate","Paul Davies",2017-05-03,2017-05-03,"To propose that the National Assembly for Wales:1. Notes that Wales and the United Kingdom require strong and stable leadership to continue the country's economic prosperity.2. Regrets the First Minister's public endorsement of a proposal to borrow an extra £500 billion which would endanger the future of the Welsh economy.3. Recognises the need for policies to be fully-costed to ensure Wales and the UK's economic progress is not put at risk."
"252","NDM6303","NDM6303 - Assembly Debate","Rhun ap Iorwerth",2017-05-03,2017-05-03,"To propose that the National Assembly for Wales:1. Supports the principle of the Welsh National Health Service being kept in public hands.2. Is concerned about the budgetary and cross-border implications for health services in Wales in light of the creeping privatisation of the National Health Service in England.3. Believes that any future UK trade deals must be subject to the consent of this Assembly, where those deals affect devolved policy areas such as health."
"253","NDM6304","NDM6304 - Assembly Debate","Paul Davies",2017-05-04,2017-05-04,"To propose that the National Assembly for Wales, in accordance with Standing Order 26.91:Agrees that Paul Davies AM may introduce a Bill to give effect to the information included in the Explanatory Memorandum tabled on 4 May 2017 under Standing Order 26.91A."
"254","NDM6305","NDM6305 - Assembly Debate","Paul Davies",2017-05-10,2017-05-10,"To propose that the National Assembly for Wales:1. Recognises the multitude of risks which children face using the internet.2. Notes the immense importance of taking action to ensure children are kept safe online, and educating them as to the steps they should be taking to help protect themselves when using the internet.3. Calls on the Welsh Government to outline a comprehensive response to concerns raised by the NSPCC, regarding an increase in related calls they have received about internet safety. 4. Further calls on the Welsh Government to ensure that prioritisation of online safety is integral to all strategies aiming to deliver safer communities for children across Wales."
"255","NDM6307","NDM6307 - Short Debate","Dawn Bowden",2017-05-10,2017-05-10,"Short Debate"
"256","NDM6308","NDM6308 - Assembly Debate","Rhun ap Iorwerth",2017-05-10,2017-05-10,"To propose that the National Assembly for Wales:1. Notes continuing difficulties with the training and recruiting of medical staff (including doctors) in many parts of Wales, particularly rural and north Wales.2. Calls for the development of a medical school in Bangor as part of an all-Wales approach to increasing training, recruitment and retention of doctors in Wales."
"257","NDM6309","NDM6309 - Assembly Debate","Neil Hamilton",2017-05-10,2017-05-10,"To propose that the National Assembly for Wales:1. Believes that, whilst there is a case to support humanitarian and emergency aid to poorer countries especially in specific crises, it makes no sense to fix the foreign aid budget at an arbitrary 0.7 per cent of gross national income (GNI).2. Notes that the UK national debt has been doubled since 2009 and now stands at £1.6 trillion, which equates to £22,000 for every UK man, woman and child.3. Believes that the wellbeing of future generations must be considered when making all public spending decisions and that the foreign aid budget should be evaluated by the UK Government in the context of other pressing needs at home.4. Calls for the repeal of the International Development (Official Development Assistance Target) Act 2015, which enshrined the 0.7 per cent target figure in UK law.5. Believes that much of the foreign aid budget is wasted, diverted by corruption and spent unproductively.6. Calls on the Welsh Government to urge the UK Government to reduce foreign aid target spending to 0.2 per cent of GNI, which is similar to the US, Italian and Spanish aid budgets.7. Believes that the £8 billion savings which would be released should be redirected proportionately to the UK nations and spent on deserving causes like the NHS or social housing.'International Development (Official Development Assistance Target) Act 2015'"
"258","NDM6310","NDM6310 - Assembly Debate","Rhun ap Iorwerth",2017-05-10,2017-05-10,"To propose that the National Assembly for Wales:1. Notes that Gross Value-Added per head in the central valleys and Gwent valleys NUTS2 areas is consistently below the Welsh average.2. Notes that unemployment in most south Wales valleys local authorities is above the Welsh average.3. Notes that insecure work, low wages and poverty are significant problems in the south Wales valleys.4. Notes a record of  under-investment in the south Wales valleys by the Welsh and UK Governments.5. Calls on the Welsh Government to:a) create a suitably empowered and accountable Valleys Development Agency;b) bring forward a positive decision on the Circuit of Wales project, subject to normal due diligence; andc) give greater priority to investment in jobs and infrastructure in the valleys."
"259","NDM6311","NDM6311 - Member Debates","Julie Morgan",2017-05-11,2017-05-11,"To propose that the National Assembly for Wales:1. Congratulates the staff in the NHS in Wales for treating and curing an unprecedented number of patients with Hepatitis C.2. Calls on the Welsh Government to confirm their commitment to the World Health Organisation eradication date of 2030.3. Calls on the Welsh Government to consider new operational guidelines to support the NHS to work towards the eradication of Hepatitis C in Wales."
"260","NDM6312","NDM6312 - Government Debate","Rebecca Evans",2017-05-15,2017-05-15,"To propose that the National Assembly for Wales, in accordance with Standing Order 26.47:Approves the Public Health (Wales) Bill"
"261","NDM6314","NDM6314 - Government Debate","Jane Hutt",2017-05-16,2017-05-16,"To propose that the National Assembly for Wales:1. Notes that social prescribing is an important form of intervention that is already used across Wales;2. Considers priorities for the further promotion of social prescribing across Wales; and3. Notes Welsh Government commitments to trial a national approach to social prescribing linked to mental health."
"262","NDM6315","NDM6315 - Short Debate","Dai Lloyd",2017-05-17,2017-05-17,"Short Debate"
"263","NDM6316","NDM6316 - Assembly Debate","Paul Davies",2017-05-17,2017-05-17,"To propose that the National Assembly for Wales:1. Welcomes the UK Prime Minister's commitment to scrap tolls on the Severn Crossings which will deliver a £100m boost to the Welsh economy.2. Recognises the need for a north Wales growth deal and its importance for future prosperity in the region.3. Notes the importance of developing similar regional deals for rural communities in mid Wales to ensure our country works for everyone."
"264","NDM6317","NDM6317 - Assembly Debate","Rhun ap Iorwerth",2017-05-17,2017-05-17,"To propose that the National Assembly for Wales:1. Recognises the value to the Welsh economy of live music venues in Wales.2. Notes the 5,383 signatures to a petition to the Assembly calling for protection of live music venues in Wales.3. Notes the Save Womanby Street campaign calling for protection of live music venues on Womanby Street in Cardiff.4. Calls for the agent of change principle to be made part of Welsh planning law.5. Calls for 'areas of cultural significance for music' to become a designation under Welsh planning law.'e-Petition: Live Music Protection in Wales'WITHDRAWN"
"265","NDM6318","NDM6318 - Assembly Debate","Rhun ap Iorwerth",2017-05-17,2017-05-17,"To propose that the National Assembly for Wales:1. Notes Plaid Cymru's Programme of Opposition and the commitment to establish a national energy company, Ynni Cymru.2. Notes the research paper by Simon Thomas on proposals to create Ynni Cymru.3. Calls on the Welsh Government to establish Ynni Cymru, which will run as a not for dividend company at arms-length from Welsh Government, investing profits in improved client service and prices.4. Calls on the Welsh Government to investigate creating a network of local energy grids.'Plaid Cymru's Programme for Opposition''Ynni Cymru – Power for Wales'"
"266","NDM6319","NDM6319 - Short Debate","Mike Hedges",2017-05-31,2017-05-31,"Short Debate"
"267","NDM6320","NDM6320 - Government Debate","Jane Hutt",2017-05-26,2017-05-26,"To propose that the National Assembly for Wales:1. Notes the publication of The School Nursing Framework for Wales 2017.2. Notes that the new framework was co-produced with front line school nurses and directly took account of the views of school age children.3. Notes that there is currently an identified school nurse in each secondary school and associated feeder primary school and that the framework recommends that school children in Wales have extended access throughout the year including school holidays and provides universal standards for service provision.4. Notes that the framework is a key component and foundation to the Healthy Child Wales Programme (0-7 years) and a platform for potential phased extension to older age groups.'The School Nursing Framework for Wales 2017'WITHDRAWN"
"268","NDM6321","NDM6321 - Government Debate","Jane Hutt",2017-05-26,2017-05-26,"To propose that the National Assembly for Wales:"
"269","NDM6322","NDM6322 - Assembly Debate","Paul Davies",2017-05-31,2017-05-31,"To propose that the National Assembly for Wales:1. Notes the acute shortage of homes available to younger people and families to purchase or rent at prices near the historical trend.2. Calls on the Welsh Government to base its calculation of housing need on the alternative projection contained in the Future Need and Demand for Housing in Wales.3. Further calls on the Welsh Government to:a) publish a strategy to secure more land, including brownfield sites, to be made available for home building;b) deliver greater investment in vocational skills for the construction sector and in the development of modern apprenticeships; andc) examine options for family living in higher density urban settings, following best practice in many European cities.'Future Need and Demand for Housing in Wales'"
"270","NDM6323","NDM6323 - Government Debate","Alun Davies",2017-05-26,2017-05-26,"To propose that the National Assembly for Wales, in accordance with Standing Order 26.11:"
"271","NDM6324","NDM6324 - Government Debate","Jane Hutt",2017-05-26,2017-05-26,"To propose that the National Assembly for Wales: for the purposes of any provisions resulting from the Additional Learning Needs and Education Tribunal (Wales) Bill, agrees to any increase in expenditure of a kind referred to in Standing Order 26.69, arising in consequence of the Bill."
"272","NDM6325","NDM6325 - Assembly Debate","Rhun ap Iorwerth",2017-05-31,2017-05-31,"To propose that the National Assembly for Wales:1. Notes that European payments comprise 80 per cent of farm income in Wales and that the purpose of these payments has been to ensure reasonably priced, high quality and high welfare food for the consumer.2. Notes with concern that irresponsible trade deals could lead to Wales being flooded with cheap imported food, harming the agricultural industry, rural economy and public health.3. Believes that the UK Government must deliver on the promises of its prominent Leave campaigners and guarantee that European funding for agriculture and rural development is replaced its entirety.4. Believes that, in order to give protection to Welsh farmers and rural communities, the UK Government should seek the endorsement of each UK country before any trade deal is be signed."
"273","NDM6326","NDM6326 - Assembly Debate","Rhun ap Iorwerth",2017-05-31,2017-05-31,"To propose that the National Assembly for Wales:1. Notes the result of last year's EU referendum.2. Recognises that Wales has unique needs and requirements throughout the Brexit process.3. Notes the importance of Wales insulating itself from the economic uncertainty of Brexit, as well as grasping the new legislative and economic opportunities created beyond our departure from the EU.4. Calls on the UK Government to ensure:a) that the National Assembly for Wales has a veto over any foreign trade deal;b) that fiscal powers over VAT and APD are devolved to the National Assembly for Wales at the earliest opportunity and that further consideration is given to a unique Welsh corporation tax rate;c) that procurement powers are devolved to Wales to enable the Welsh Government to stipulate greater involvement of Welsh businesses in the procurement process to promote Welsh businesses; andd) that Wales does not receive a penny less in funding (as promised during the EU referendum campaign) and that a new investment package is brought forward to insulate the Welsh economy throughout the economic uncertainty caused by Brexit.5. Calls on the Welsh Government to bring forward plans for a Welsh migration service and work with the UK Government to bring forward UK legislation to allow regional visas to allow Wales to have an immigration policy that works for its public services and economy."
"274","NDM6327","NDM6327 - Government Debate","Jane Hutt",2017-06-06,2017-06-06,"To propose that the National Assembly for Wales, in accordance with Standing Order 26.36:Agrees to dispose of sections and schedules to the Landfill Disposals Tax (Wales) Bill at Stage 3 in the following order: a) sections 2 - 15b) Schedule 1c) sections 16 - 33d) Schedule 2e) sections 34 - 40f) Schedule 3g) sections 41 - 89 h) Schedule 4 i) section 1 j) Long title"
"275","NDM6328","NDM6328 - Short Debate","Jeremy Miles",2017-06-07,2017-06-07,"Short Debate"
"276","NDM6329","NDM6329 - Assembly Debate","Bethan Sayed",2017-06-07,2017-06-07,"To propose that the National Assembly for Wales:1. Notes the report of the Culture, Welsh Language and Communications Committee, 'The Big Picture – The Committee's Initial views on Broadcasting in Wales', which was laid in the Table Office on 1 February 2017.2. Agrees that S4C, having accepted the committee's recommendation to this effect, should lay before the Assembly annual reports and audited statements of accounts."
"277","NDM6330","NDM6330 - Government Debate","Jane Hutt",2017-06-13,2017-06-13,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5 Approves that the draft The Allocation of Housing and Homelessness (Eligibility) (Wales) (Amendment) Regulations 2017 is made in accordance with the draft laid in the Table Office on 18 May 2017."
"278","NDM6331","NDM6331 - Short Debate","Vikki Howells",2017-06-14,2017-06-14,"The multifaceted challenges posed by poverty in Wales"
"279","NDM6332","NDM6332 - Assembly Debate","Elin Jones",2017-06-14,2017-06-14,"To propose that the National Assembly for Wales, in accordance with Standing Order 33.2:1. Considers the Report of the Business Committee 'Amending Standing Orders: Standing Orders 16, 19, 20 and 27 – Budget Process and Finance Procedures' laid in the Table Office on 14.06.17; and 2. Approves the proposal to revise Standing Orders 16, 19, 20 and 27, as set out in Annex B of the Report of the Business Committee."
"280","NDM6333","NDM6333 - Assembly Debate","Simon Thomas",2017-06-14,2017-06-14,"To propose that the National Assembly for Wales: Approves the protocol on the administrative arrangements for the scrutiny of the annual draft budget and other related budgetary matters agreed by the Finance Committee and the Welsh Government, laid in the Table Office on 13 June 2017."
"281","NDM6334","NDM6334 - Assembly Debate","John Griffiths",2017-06-14,2017-06-14,"To propose that the National Assembly for Wales:Notes the report of the Equality, Local Government and Communities Committee on the inquiry into refugees and asylum seekers in Wales, which was laid in the Table Office on 6 April 2017.Note: The response of the Cabinet Secretary for Communities and Children to the report was laid in the Table Office on 14 June 2017."
"282","NDM6335","NDM6335 - Assembly Debate","Neil Hamilton",2017-06-14,2017-06-14,"To propose that the National Assembly for Wales:1. Notes the Bank of England working paper, The Impact of Immigration on Occupational Wages, and its conclusion that a 10 per cent increase in the proportion of migrants working in semi and unskilled jobs leads, on average, to a 2 per cent cut in wages in those jobs in a particular region. 2. Believes that:a) a controlled and fair immigration system, placing emphasis on skilled migration, would have significant benefits for the UK economy;b) public institutions, such as the National Health Service currently depend upon skilled migration from both outside and inside the European Union;c) uncontrolled, and largely unskilled, immigration from the European Union member states at the current levels is unsustainable;d) current UK immigration policy gives migrants discrimination in favour of EU nationals to the disadvantage of those from other parts of the world. 3. Calls on the UK Government to introduce a firm but fair system of immigration control which:a) does not discriminate against non-EU citizens;b) does not replicate in substance, or in fact, the existing EU or EEA regime for free movement of workers; andc) seeks to balance immigration and emigration over a five year period.'The Impact of Immigration on Occupational Wages: evidence from Britain'"
"283","NDM6336","NDM6336 - Assembly Debate","Rhun ap Iorwerth",2017-06-14,2017-06-14,"To propose that the National Assembly for Wales:1. Asserts itself as the national parliament of Wales.2. Demands that all powers and resources currently exercised at the EU level within areas of devolved competence are to be exercised by the National Assembly for Wales after the UK leaves the European Union.3. Further demands that the UK Government seeks the endorsement of the National Assembly for Wales for all future trade deals with the EU and other countries around the world in order to protect the interests of the Welsh economy."
"284","NDM6337","NDM6337 - Assembly Debate","Elin Jones",2017-06-20,2017-06-20,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.2R and 17.2A, agrees that the political groups from which the chairs of committees are elected will be as follows:(i) Climate Change, Environment and Rural Affairs Committee - Labour;(ii) Petitions Committee - UKIP."
"285","NDM6338","NDM6338 - Short Debate","Llyr Gruffydd",2017-06-21,2017-06-21,"Short Debate"
"286","NDM6339","NDM6339 - Government Debate","Jane Hutt",2017-06-20,2017-06-20,"To propose that the National Assembly for Wales:1. Notes the Welsh Government's leadership in implementing actions to decarbonise the Welsh public sector, in line with its statutory commitments within the Environment (Wales) Act 2016.2. Supports the Welsh Government's aim of accelerating decarbonisation in the public sector to provide further stimulus to the low carbon economy.3. Supports the Welsh Government ambition that Wales' public sector is carbon neutral by 2030.4. Notes the forthcoming call for evidence which will seek views on the approach to be taken to decarbonise the Public Sector.'Environment (Wales) Act 2016'"
"287","NDM6340","NDM6340 - Assembly Debate","Paul Davies",2017-06-21,2017-06-21,"To propose that the National Assembly for Wales:1. Recognises the vital contribution that part-time higher education makes to the Welsh economy, especially in our most disadvantaged communities.2. Supports initiatives such as Adult Learners Week and recognises the importance of adult and community learning opportunities to Wales. 3. Welcomes the proposed support package for part-time higher education and part-time students put forward in the Welsh Government's response to the Diamond Review.4. Calls upon the Welsh Government to:a) Provide an all-age careers advisory and education service which gives parity of esteem to full and part-time study options, supports progression for people in low wage employment, and recognises the wider benefits of adult and community learning to improving health and well-being; and b) invest in adult community learning to enable pathways for all into, and through, further and higher education.'Welsh Government response to the recommendations from the Review of Student Support and Higher Education Funding in Wales ('the Diamond Review')'"
"288","NDM6341","NDM6341 - Assembly Debate","Elin Jones",2017-06-21,2017-06-21,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects Gareth Bennett (United Kingdom Independence Party) as a Member of the Climate Change, Environment and Rural Affairs Committee in place of Vikki Howells (Labour);"
"289","NDM6342","NDM6342 - Assembly Debate","Elin Jones",2017-06-21,2017-06-21,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects Mike Hedges (Labour) as a Member of the Petitions Committee in place of Gareth Bennett (United Kingdom Independence Party)."
"290","NDM6343","NDM6343 - Assembly Debate","Elin Jones",2017-06-21,2017-06-21,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Vikki Howells (Labour) as a Member of the Public Accounts Committee in place of Mike Hedges (Labour)."
"291","NDM6344","NDM6344 - Assembly Debate","Elin Jones",2017-06-21,2017-06-21,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Gareth Bennett (United Kingdom Independence Party) as a Member of the Business Committee in place of David Rowlands (United Kingdom Independence Party)."
"292","NDM6345","NDM6345 - Assembly Debate","Elin Jones",2017-06-21,2017-06-21,"To propose that the National Assembly for Wales, in accordance with Standing Orders 17.3 and 17.13(ii), elects Neil Hamilton (United Kingdom Independence Party) as a Member of the Finance Committee."
"293","NDM6346","NDM6346 - Assembly Debate","Elin Jones",2017-06-21,2017-06-21,"To propose that the National Assembly for Wales, in accordance with Standing Orders 17.3 and 17.13(ii), elects David Rowlands (United Kingdom Independence Party) as a Member of the Committee for the Scrutiny of the First Minister."
"294","NDM6347","NDM6347 - Assembly Debate","Mike Hedges",2017-06-21,2017-06-21,"To propose that the National Assembly for Wales:Notes the report of the Climate Change, Environment and Rural Affairs Committee on the future of land management in Wales, which was laid in the Table Office on 26 March 2017.Note: The response of the Cabinet Secretary for Environment and Rural Affairs was laid in the Table Office on 21 June 2017."
"295","NDM6348","NDM6348 - Member Debates","David Melding",2017-06-28,2017-06-28,"To propose that the National Assembly for Wales:1. Notes that Wales is the only home nation without a specialist paediatric rheumatology centre;2. Notes that there are an estimated 400 children in South Wales alone that are suffering with juvenile idiopathic arthritis;3. Recognises the need for a multidisciplinary paediatric rheumatology centre in Wales;4. Notes that the Welsh Health Specialist Services Committee is undertaking a comprehensive review of paediatric specialised services in Wales; and5. Calls on the Welsh Government to support calls from Arthritis Care, the National Rheumatoid Arthritis Society and the British Society for Rheumatology for the creation of a fully dedicated multidisciplinary paediatric rheumatology centre in Wales."
"296","NDM6349","NDM6349 - Debate on Members’ Legislative Proposal","Bethan Sayed",2017-06-22,2017-06-22,"To propose that the National Assembly for Wales:1. Notes a proposal for a bill to support young carers in Wales.2. Notes that the purpose of this bill would be to:a) Provide statutory guidance for schools and local authorities in Wales to provide appropriate support and flexibility for young carers to undertake their care responsibilities during and after school hours;b) provide guidance for schools to work with young carers to provide flexible pathways to ensure continued participation in education;c) allow young carers to collect prescriptions on behalf of those in their care, via a Young Carers Card or other mechanism; andd) ensure that the Welsh Government work with appropriate organisations to introduce respite and support services for young carers in every local authority area in Wales."
"297","NDM6351","NDM6351 - Government Debate","Mark Drakeford",2017-06-20,2017-06-20,"To propose that the National Assembly for Wales, in accordance with Standing Order 26.47:Approves the Landfill Disposals Tax (Wales) Bill."
"298","NDM6352","NDM6352 - Government Debate","Jane Hutt",2017-06-27,2017-06-27,"To propose that the National Assembly for Wales:1. Notes that the Wales Act 2014 allows for the creation of new Welsh taxes.2. Recognises that it will be necessary to test this new aspect of the devolution machinery.3. Welcomes a wide range of potential ideas for use of this new fiscal possibility in Wales. Wales Act 2014"
"299","NDM6353","NDM6353 - Government Debate","Jane Hutt",2017-06-27,2017-06-27,"To propose that the National Assembly for Wales, in accordance with Standing Order 20.30, approves the First Supplementary Budget for the financial year 2017-18 laid in the Table Office and emailed to Assembly Members on Tuesday, 27 June 2017.Footnote:In accordance with the relevant provisions contained in the Government of Wales Act 2006 and Standing Order 20, the Supplementary Budget comprises the following information:(i) the written statement required under section 125(3) of the Government of Wales Act;(ii) the resources agreed by the Treasury for the Welsh block budget for the financial year covered by the motion;(iii) a reconciliation between the resources allocated to the Welsh block budget by the Treasury and the resources to be authorised for use in the motion;(iv) a reconciliation between the estimated amounts to be paid into the Welsh Consolidated Fund by the Secretary of State and the amounts to be authorised for payment out of the Fund in the motion; and (v) a reconciliation between the resources to be authorised under section 125(1)(a) and (b) of the Act and the amounts to be authorised for payment out of the Welsh Consolidated Fund under section 125(1)(c).The following additional information has been made available to Members:- a note explaining the main changes from previous plans."
"300","NDM6354","NDM6354 - Assembly Debate","Paul Davies",2017-06-28,2017-06-28,"To propose that the National Assembly for Wales:1. Recognises the importance of regeneration schemes in enhancing the future prosperity of communities across Wales.2. Calls on the Welsh Government to outline how it proposes to increase investor confidence for regeneration projects.3. Regrets the Welsh Government's handling of the Circuit of Wales project and believes this could have a negative impact on potential investment for future regeneration projects in Wales."
"301","NDM6355","NDM6355 - Short Debate","Neil Hamilton",2017-06-28,2017-06-28,"Short Debate"
"302","NDM6356","NDM6356 - Assembly Debate","Rhun ap Iorwerth",2017-06-28,2017-06-28,"1. Notes the Welsh Government's aim of publishing a strategy in order to reach a million Welsh speakers by 2050."
"303","NDM6361","NDM6361 - Assembly Debate","Elin Jones",2017-07-04,2017-07-04,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects Gareth Bennett (United Kingdom Independence Party) as a member of the Standards of Conduct Committee in place of David J Rowlands (United Kingdom Independence Party)."
"304","NDM6362","NDM6362 - Assembly Debate","David J. Rowlands",2017-07-05,2017-07-05,"To propose that the National Assembly for Wales:Notes the petition P-05-756 Live Music Protection in Wales which has received 5,383 signatures.'P-05-756 Live Music Protection in Wales'"
"305","NDM6363","NDM6363 - Short Debate","Jayne Bryant",2017-07-05,2017-07-05,"Short Debate"
"306","NDM6364","NDM6364 - Assembly Debate","Elin Jones",2017-07-04,2017-07-04,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects Mark Reckless (Welsh Conservatives) as a member of the Children, Young People and Education Committee in place of Mohammad Asghar (Welsh Conservatives)."
"307","NDM6365","NDM6365 - Assembly Debate","Elin Jones",2017-07-05,2017-07-05,"To propose that the National Assembly for Wales: 1. Approves the Assembly Commission's Official Languages Scheme, in accordance with paragraph 8(11)(d) of Schedule 2 of the Government of Wales Act 2006, laid before the National Assembly for Wales on 5 July 2017; and2. Notes the Compliance Report on the Assembly Commission's Official Languages Scheme for the period 2015-2017, in accordance with paragraph 8 (8) of Schedule 2 of the Government of Wales Act 2006, laid before the National Assembly for Wales on 5 July 2017.'The Government of Wales Act 2006''Assembly Commission's Official Languages Scheme''Compliance Report on the Assembly Commission's Official Languages Scheme 2015-2017'"
"308","NDM6366","NDM6366 - Assembly Debate","Nick Ramsay",2017-07-12,2017-07-12,"To propose that the National Assembly for Wales:Notes the Report of the Public Accounts Committee - Natural Resources Wales: Annual Report and Accounts 2015-16 - which was laid in the Table Office on 15 June 2017.Note: Natural Resources Wales's response to the report was received and published on the Committee's webpage on 5 July 2017."
"309","NDM6367","NDM6367 - Government Debate","Carl Sargeant",2017-07-11,2017-07-11,"To propose that the National Assembly for Wales, in accordance with Standing Order 26.11:Agrees to the general principles of the Abolition of the Right to Buy and Associated Rights (Wales) Bill.The Abolition of the Right to Buy and Associated Rights (Wales) Bill and Explanatory Memorandum were laid before the Assembly on 13 March 2017.The report by the Equality, Local Government and Communities Committee on the Abolition of the Right to Buy and Associated Rights (Wales) Bill was laid before the Assembly on 7 July 2017."
"310","NDM6368","NDM6368 - Government Debate","Jane Hutt",2017-07-11,2017-07-11,"To propose that the National Assembly for Wales: for the purposes of any provisions resulting from the Abolition of the Right to Buy and Associated Rights (Wales) Bill, agrees to any increase in expenditure of a kind referred to in Standing Order 26.69 arising in consequence of the Bill."
"311","NDM6369","NDM6369 - Assembly Debate","Simon Thomas",2017-07-12,2017-07-12,"To propose that the National Assembly for Wales, in accordance with Paragraphs 5(1) and 5(3) to Schedule 1 of the Public Audit Wales Act 2013, and under Standing Order 10.5, extends the appointment of Isobel Garner as Chair of the Wales Audit Office Board for a further three years. 'Public Audit Wales Act 2013'"
"312","NDM6370","NDM6370 - Short Debate","Darren Millar",2017-07-12,2017-07-12,"Short Debate"
"313","NDM6371","NDM6371 - Assembly Debate","Neil Hamilton",2017-07-12,2017-07-12,"To propose that the National Assembly:1. Believes that Brexit:a) enables the Welsh people to have more control over their own lives by devolving governmental powers from unelected technocrats in Brussels to Assembly Members in Cardiff and MPs at Westminster;b) can create more prosperity for agriculture and the rural economy, by replacing the CAP with an agricultural policy tailor-made for Wales's specific needs, with special reference to conservation and environmental protection based on scientific principles and incurring proportionate cost to rural taxpayers and businesses.2. Believes that the Welsh Government should develop other tailor made policies for rural areas within a localism agenda which empowers local people by:a) making major planning decisions with a significant adverse impact on the quality of life, such as intrusive wind-farms, subject to local referendums;b) making major changes to the provision of rural schools and other educational services subject to genuine local consultation;c) facilitating more affordable rural housing; andd) giving greater priority to the provision of NHS facilities in smaller rural towns."
"314","NDM6372","NDM6372 - Government Debate","Mark Drakeford",2017-07-11,2017-07-11,"To propose that the National Assembly for Wales, in accordance with Standing Order 26.47:Approves the Trade Union (Wales) Bill'Trade Union (Wales) Bill'"
"315","NDM6016","NNDM6016 - Assembly Debate","Jane Hutt",2016-05-23,2016-05-23,"To propose that the National Assembly for Wales, in accordance with Standing Order 11.3:Appoints the Presiding Officer, Jane Hutt (Labour), Simon Thomas (Plaid Cymru), Paul Davies (Welsh Conservatives) and Mark Reckless (UKIP Wales) as members of the Business Committee."
